"user_genome","Product.Prediction","BiG.SCAPE.class"
"SRR10948449bin.7","NRPS","NRPS"
"SRR5437868rbin.4","LAP","RiPPs"
"S400bin.1","redox-cofactor","Others"
"SRR7098092rbin.15","redox-cofactor","Others"
"SRR12377071bin.12","lanthipeptide-class-iv","RiPPs"
"SRR7096127rbin.5","redox-cofactor","Others"
"SRR7094834rbin.29","NRPS-like","NRPS"
"R23rbin.2","RiPP-like.RRE-containing","RiPPs"
"SRR6193119rbin.10","redox-cofactor","Others"
"S366bin.42","lassopeptide","RiPPs"
"SRR9691058rbin.37","lassopeptide","RiPPs"
"ERR4661006rbin.1","redox-cofactor","Others"
"SRR9289417rbin.26","RRE-containing","RiPPs"
"SRR7100769rbin.20","redox-cofactor","Others"
"SRR8440673rbin.12","ranthipeptide","RiPPs"
"SRR3985625rbin.6","terpene","Terpene"
"SRR7142033rbin.1","lassopeptide","RiPPs"
"S25rbin.16","lassopeptide","RiPPs"
"SRR5882724rbin.21","ladderane","Others"
"SRR7093793rbin.3","redox-cofactor","Others"
"SRR13207077bin.13","redox-cofactor","Others"
"S400bin.1","ranthipeptide","RiPPs"
"SRR10695402bin.7","T1PKS","PKSI"
"SRR12377071bin.12","NRPS-like","NRPS"
"SRR11678156bin.9","NRPS","NRPS"
"SRR6181342rbin.2","terpene","Terpene"
"SRR7003763rbin.11","redox-cofactor","Others"
"SRR8881005rbin.49","redox-cofactor","Others"
"SRR7101595rbin.12","redox-cofactor","Others"
"SRR5133179rbin.1","LAP","RiPPs"
"S5rebin.42","terpene","Terpene"
"SRR8556377rbin.8","lassopeptide","RiPPs"
"SRR5659263rbin.5","RRE-containing","RiPPs"
"SRR7004343rbin.29","redox-cofactor","Others"
"S126bin.2","redox-cofactor","Others"
"SRR13115018bin.22","redox-cofactor","Others"
"SRR10954980bin.2","NRPS","NRPS"
"S406bin.48","redox-cofactor","Others"
"SRR6478736rbin.2","thioamitides","Others"
"SRR11842680bin.63","terpene","Terpene"
"Z4tu_BDbin.5","redox-cofactor","Others"
"SRR13115019bin.65","lassopeptide","RiPPs"
"S387bin.41","redox-cofactor","Others"
"SRR7003767rbin.20","LAP","RiPPs"
"SRR5579883rbin.76","terpene","Terpene"
"SRR5829544rbin.2","terpene","Terpene"
"SRR13207077bin.5","redox-cofactor","Others"
"SRR7100769rbin.19","redox-cofactor","Others"
"SRR12418385bin.1","terpene","Terpene"
"S135bin.17","NAPAA","NRPS"
"SRR5855436rbin.14","NRPS-like.T1PKS.transAT-PKS-like","PKS-NRP_Hybrids"
"S25rbin.5","T3PKS","PKSother"
"SRR12350505bin.4","redox-cofactor","Others"
"SRR2903329rbin.27","redox-cofactor","Others"
"SRR7094834rbin.10","redox-cofactor","Others"
"S211bin.18","T1PKS.hglE-KS","PKSother"
"SRR8558721rbin.3","terpene","Terpene"
"SRR6474744rbin.3","lanthipeptide-class-iv","RiPPs"
"SRR6049602rbin.3","arylpolyene","Others"
"SRR5581483rbin.160","terpene","Terpene"
"SRR5947209rbin.8","lassopeptide.RRE-containing","RiPPs"
"S312bin.8","NRPS-like","NRPS"
"SRR3990172rbin.104","terpene","Terpene"
"SRR8440673rbin.14","arylpolyene","Others"
"SRR11679678bin.23","redox-cofactor","Others"
"SRR7882662rbin.81","redox-cofactor","Others"
"SRR11676618bin.10","LAP","RiPPs"
"SRR13207170bin.8","redox-cofactor","Others"
"S406bin.40","redox-cofactor","Others"
"SRR11719862bin.5","betalactone","Others"
"D6rbin.11","redox-cofactor","Others"
"SRR7004340rbin.11","terpene","Terpene"
"S233bin.1","terpene","Terpene"
"ERR4661001rbin.1","redox-cofactor","Others"
"SRR5855434rbin.4","terpene","Terpene"
"zpcx_13bin.19","terpene","Terpene"
"SRR908272rebin.2","lanthipeptide-class-v","RiPPs"
"SRR10998591bin.11","LAP","RiPPs"
"D4rbin.1","T1PKS","PKSI"
"SRR7882662rbin.45","terpene","Terpene"
"SRR7096238rbin.37","lassopeptide.RRE-containing","RiPPs"
"S313bin.22","lassopeptide","RiPPs"
"Z2tu_BDbin.3","redox-cofactor","Others"
"S326bin.6","terpene","Terpene"
"SRR7741809rbin.26","redox-cofactor","Others"
"SRR7882662rbin.92","terpene","Terpene"
"SRR11679235bin.7","lanthipeptide-class-iii","RiPPs"
"SRR11836029bin.15","NRPS-like","NRPS"
"S237bin.17","RRE-containing","RiPPs"
"SRR5215545rbin.27","redox-cofactor","Others"
"SRR3984960rbin.5","arylpolyene","Others"
"S20rbin.5","NRPS","NRPS"
"SRR8205303rbin.1","redox-cofactor","Others"
"SRR5209023rbin.6","redox-cofactor","Others"
"S135bin.18","redox-cofactor","Others"
"SRR11836514bin.4","redox-cofactor","Others"
"SRR10695397bin.10","redox-cofactor","Others"
"SRR11449186bin.42","redox-cofactor","Others"
"SRR12350505bin.8","redox-cofactor","Others"
"SRR12608599bin.2","redox-cofactor","Others"
"SRR12659399bin.8","betalactone","Others"
"SRR6474868rbin.2","redox-cofactor","Others"
"SRR1955040rbin.7","redox-cofactor","Others"
"SRR10954980bin.2","NRPS.NRPS-like","NRPS"
"SRR11679676bin.26","redox-cofactor","Others"
"SRR7141967rbin.2","terpene","Terpene"
"S354bin.8","terpene","Terpene"
"SRR8663215rbin.3","redox-cofactor","Others"
"SRR11743028bin.40","terpene","Terpene"
"SRR3984960rbin.5","redox-cofactor","Others"
"S258bin.27","lassopeptide.RRE-containing","RiPPs"
"SRR11794808bin.34","redox-cofactor","Others"
"S179bin.30","redox-cofactor","Others"
"SRR7042370rbin.38","redox-cofactor","Others"
"S141bin.5","RRE-containing","RiPPs"
"SRR11449186bin.36","redox-cofactor","Others"
"SRR3929942rbin.2","redox-cofactor","Others"
"SRR6076972rbin.1","LAP","RiPPs"
"SRR11449188bin.9","terpene","Terpene"
"SRR5195118rbin.4","terpene","Terpene"
"SRR12844125bin.1","NRPS-like","NRPS"
"SRR7976235rbin.1","redox-cofactor","Others"
"SRR10360645bin.5","redox-cofactor","Others"
"SRR8536191rbin.4","terpene","Terpene"
"S244bin.11","LAP","RiPPs"
"SRR9694538rbin.28","redox-cofactor","Others"
"SRR11742962bin.18","thiopeptide.LAP","RiPPs"
"SRR11285378bin.7","redox-cofactor","Others"
"S178bin.23","redox-cofactor","Others"
"SRR11836412bin.1","NRPS-like","NRPS"
"SRR8205308rbin.4","redox-cofactor","Others"
"S400bin.2","redox-cofactor","Others"
"S32rbin.14","redox-cofactor","Others"
"SRR5678811rbin.3","redox-cofactor","Others"
"ED2bin.8","redox-cofactor","Others"
"SRR7457706rbin.6","redox-cofactor","Others"
"SRR8676462rbin.13","redox-cofactor","Others"
"SRR5923187rbin.1","redox-cofactor","Others"
"SRR8881010rbin.9","redox-cofactor","Others"
"SRR5690625rbin.21","T3PKS","PKSother"
"SRR9865947rbin.6","redox-cofactor","Others"
"SRR5855427rbin.9","arylpolyene","Others"
"SRR6788489rbin.20","redox-cofactor","Others"
"SRR5133179rbin.1","redox-cofactor","Others"
"SRR7096238rbin.34","lassopeptide","RiPPs"
"SRR7094834rbin.7","LAP","RiPPs"
"S75rbin.52","NRPS-like","NRPS"
"zpcx_13bin.19","redox-cofactor","Others"
"SRR11719869bin.8","NRPS-like","NRPS"
"SRR6476469rbin.1","terpene","Terpene"
"SRR5918998rbin.1","terpene","Terpene"
"SRR7004198rbin.4","redox-cofactor","Others"
"SRR8881009rbin.45","redox-cofactor","Others"
"SRR12087330bin.5","redox-cofactor","Others"
"SRR5210316rbin.7","terpene","Terpene"
"SRR11794808bin.25","terpene","Terpene"
"SRR1586317rbin.5","redox-cofactor","Others"
"S284bin.2","lanthipeptide-class-v","RiPPs"
"SRR11743025bin.41","redox-cofactor","Others"
"SRR3984957rbin.4","redox-cofactor","Others"
"SRR5581483rbin.4","redox-cofactor","Others"
"S366bin.33","redox-cofactor","Others"
"SRR5582436rbin.43","terpene","Terpene"
"SRR7096238rbin.7","redox-cofactor","Others"
"S61rbin.7","resorcinol","Others"
"SRR11613032bin.61","NRPS-like","NRPS"
"SRR5195145rbin.3","redox-cofactor","Others"
"SRR10998590bin.5","NRPS","NRPS"
"SRR5209944rbin.22","terpene","Terpene"
"SRR7687076rbin.1","redox-cofactor","Others"
"SRR11836411bin.67","terpene","Terpene"
"SRR7100789rbin.17","redox-cofactor","Others"
"SRR11614242bin.54","LAP","RiPPs"
"SRR7448274rbin.17","redox-cofactor","Others"
"SRR11834592bin.5","redox-cofactor","Others"
"SRR7976294rbin.6","redox-cofactor","Others"
"SRR5579883rbin.76","redox-cofactor","Others"
"SRR5195144rbin.9","terpene","Terpene"
"S386bin.8","lassopeptide","RiPPs"
"SRR11449186bin.36","redox-cofactor","Others"
"SRR12927878bin.19","redox-cofactor","Others"
"SRR5437016rbin.4","redox-cofactor","Others"
"SRR13115019bin.14","redox-cofactor","Others"
"SRR3984957rbin.16","redox-cofactor","Others"
"S244bin.18","proteusin.RiPP-like.lanthipeptide-class-ii","RiPPs"
"GM1bin.19","terpene","Terpene"
"SRR5829544rbin.5","redox-cofactor","Others"
"SRR13115019bin.78","lanthipeptide-class-iii","RiPPs"
"SRR8881009rbin.7","redox-cofactor","Others"
"SRR7004202rbin.15","phosphonate","Others"
"SRR5882757rbin.3","redox-cofactor","Others"
"S406bin.7","redox-cofactor","Others"
"S285bin.7","redox-cofactor","Others"
"SRR12277191bin.5","redox-cofactor","Others"
"S246bin.14","lassopeptide","RiPPs"
"SRR8879133rbin.37","redox-cofactor","Others"
"SRR3969907rbin.10","T3PKS","PKSother"
"SRR12692973bin.10","redox-cofactor","Others"
"SRR3402028rbin.6","redox-cofactor","Others"
"SRR5195135rbin.10","NRPS","NRPS"
"S335bin.9","redox-cofactor","Others"
"SRR12418384bin.1","redox-cofactor","Others"
"SRR11842680bin.9","betalactone","Others"
"S233bin.1","redox-cofactor","Others"
"SRR11842679bin.4","redox-cofactor","Others"
"SRR7882662rbin.67","redox-cofactor","Others"
"S120bin.2","other","Others"
"SRR5582390rbin.21","redox-cofactor","Others"
"S5rebin.42","terpene","Terpene"
"SRR5581483rbin.99","NRPS-like","NRPS"
"SRR8549365rbin.16","arylpolyene","Others"
"SRR7097863rbin.17","redox-cofactor","Others"
"SRR11613400bin.20","redox-cofactor","Others"
"SRR3985624rbin.28","T3PKS","PKSother"
"SRR6187402rbin.1","redox-cofactor","Others"
"SRR12347823bin.12","NRPS-like","NRPS"
"SRR10159355bin.1","lassopeptide.RRE-containing","RiPPs"
"S264bin.14","redox-cofactor","Others"
"SRR7003810rbin.8","redox-cofactor","Others"
"ERR4661004rbin.5","redox-cofactor","Others"
"SRR6193119rbin.6","terpene","Terpene"
"SRR13115019bin.75","terpene","Terpene"
"SRR2059973rbin.10","RiPP-like.proteusin","RiPPs"
"SRR12659394bin.14","redox-cofactor","Others"
"SRR6266513rbin.9","ladderane","Others"
"SRR8487025rbin.3","redox-cofactor","Others"
"SRR9694538rbin.4","redox-cofactor","Others"
"SRR11679678bin.35","redox-cofactor","Others"
"SRR7976247rbin.27","terpene","Terpene"
"SRR6193119rbin.6","redox-cofactor","Others"
"S7rebin.4","redox-cofactor","Others"
"SRR6184671rbin.47","redox-cofactor","Others"
"S141bin.35","arylpolyene","Others"
"SRR5581483rbin.72","redox-cofactor","Others"
"SRR12377071bin.2","redox-cofactor","Others"
"SRR7004340rbin.11","redox-cofactor","Others"
"S258bin.1","redox-cofactor","Others"
"SRR7100789rbin.6","redox-cofactor","Others"
"SRR5581483rbin.75","redox-cofactor","Others"
"SRR3402025rbin.5","T3PKS","PKSother"
"S384bin.2","terpene","Terpene"
"S70rbin.18","redox-cofactor","Others"
"SRR8863074rbin.1","redox-cofactor","Others"
"SRR7003767rbin.27","redox-cofactor","Others"
"SRR12692786bin.20","hserlactone","Others"
"SRR11719875bin.21","redox-cofactor","Others"
"SRR7976247rbin.25","redox-cofactor","Others"
"ED2bin.3","redox-cofactor","Others"
"SRR8676592rbin.7","terpene","Terpene"
"SRR7882662rbin.117","terpene","Terpene"
"SRR12277199bin.2","terpene","Terpene"
"SRR3990169rbin.70","redox-cofactor","Others"
"SRR6266568rbin.20","T1PKS","PKSI"
"SRR5579871rbin.34","T3PKS","PKSother"
"S179bin.24","redox-cofactor","Others"
"SRR5271166rbin.4","redox-cofactor","Others"
"SRR7004338rbin.2","redox-cofactor","Others"
"SRR7141967rbin.2","redox-cofactor","Others"
"S390bin.30","phosphonate","Others"
"S246bin.34","T3PKS","PKSother"
"SRR3988231rbin.1","redox-cofactor","Others"
"SRR8500449rbin.2","redox-cofactor","Others"
"SRR11842680bin.53","terpene","Terpene"
"SRR7687007rbin.2","redox-cofactor","Others"
"SRR1586317rbin.11","redox-cofactor","Others"
"SRR5581483rbin.159","RiPP-like.LAP","RiPPs"
"SRR6202453rbin.4","terpene","Terpene"
"zpcx_28bin.14","lassopeptide","RiPPs"
"S141bin.35","redox-cofactor","Others"
"SRR8487025rbin.3","NAPAA","NRPS"
"SRR7101595rbin.24","NRPS","NRPS"
"SRR7097863rbin.3","arylpolyene","Others"
"SRR5437762rbin.5","redox-cofactor","Others"
"S351bin.27","T3PKS","PKSother"
"S32rbin.14","lanthipeptide-class-iii","RiPPs"
"S258bin.35","terpene","Terpene"
"SRR11836411bin.52","redox-cofactor","Others"
"SRR7027369rbin.1","redox-cofactor","Others"
"SRR12060224bin.2","redox-cofactor","Others"
"S315bin.2","NRPS","NRPS"
"SRR11834729bin.38","NAPAA","NRPS"
"S329bin.20","redox-cofactor","Others"
"S313bin.2","NRPS","NRPS"
"SRR7042369rbin.15","redox-cofactor","Others"
"SRR5579883rbin.59","NRPS-like","NRPS"
"S23rbin.1","redox-cofactor","Others"
"SRR5581483rbin.64","redox-cofactor","Others"
"SRR11615275bin.26","redox-cofactor","Others"
"SRR11031422bin.7","redox-cofactor","Others"
"GM1bin.14","redox-cofactor","Others"
"SRR5582390rbin.18","betalactone","Others"
"SRR12688413bin.5","redox-cofactor","Others"
"SRR8676595rbin.19","LAP","RiPPs"
"SRR12349250bin.10","redox-cofactor","Others"
"SRR6267142rbin.10","redox-cofactor","Others"
"SRR6187402rbin.1","terpene","Terpene"
"S20rbin.6","redox-cofactor","Others"
"SRR8440673rbin.18","terpene","Terpene"
"SRR11613357bin.46","NRPS-like","NRPS"
"SRR5699024rbin.54","betalactone","Others"
"SRR7011991rbin.5","redox-cofactor","Others"
"R125bin.1","terpene","Terpene"
"SRR12418385bin.1","redox-cofactor","Others"
"SRR7011951rbin.10","redox-cofactor","Others"
"SRR7096238rbin.39","terpene","Terpene"
"SRR5915997rbin.2","terpene","Terpene"
"SRR12608593bin.1","LAP","RiPPs"
"S4rebin.4","NRPS","NRPS"
"SRR5209942rbin.13","terpene","Terpene"
"S366bin.5","LAP","RiPPs"
"SRR5581483rbin.4","LAP","RiPPs"
"SRR5582436rbin.18","T3PKS","PKSother"
"S384bin.2","terpene","Terpene"
"SRR7102016rbin.31","terpene","Terpene"
"SRR8879137rbin.41","redox-cofactor","Others"
"S249bin.11","lassopeptide","RiPPs"
"SRR12767728bin.6","redox-cofactor","Others"
"SRR5581483rbin.138","lassopeptide","RiPPs"
"SRR6184671rbin.36","lassopeptide","RiPPs"
"SRR5579862rbin.22","arylpolyene","Others"
"S258bin.54","T3PKS","PKSother"
"SRR7042380rbin.9","T3PKS","PKSother"
"SRR11833918bin.26","redox-cofactor","Others"
"BL1bin.4","thioamitides.RRE-containing","Others"
"SRR5207244rbin.13","redox-cofactor","Others"
"S313bin.2","NRPS-like.PKS-like","PKS-NRP_Hybrids"
"SRR10695402bin.7","thioamitides","Others"
"ERR4660999rbin.1","T3PKS","PKSother"
"S264bin.8","NRPS","NRPS"
"SRR5689334rbin.6","T3PKS","PKSother"
"S326bin.10","NRPS","NRPS"
"SRR12087333bin.1","terpene","Terpene"
"SRR3984893rbin.11","NRPS-like","NRPS"
"SRR6474979rbin.9","redox-cofactor","Others"
"S406bin.46","arylpolyene","Others"
"SRR5208282rbin.6","T1PKS.hglE-KS","PKSother"
"SRR3989449rbin.7","NRPS-like","NRPS"
"SRR5215473rbin.11","NRPS-like","NRPS"
"SRR5210470rbin.12","terpene","Terpene"
"SRR7093795rbin.1","redox-cofactor","Others"
"SRR7096238rbin.34","redox-cofactor","Others"
"SRR3989258rbin.23","terpene","Terpene"
"S261bin.7","LAP","RiPPs"
"SRR9656164rbin.8","lassopeptide.RRE-containing","RiPPs"
"S141bin.1","betalactone","Others"
"SRR11842680bin.77","lassopeptide","RiPPs"
"SRR5262248rbin.39","redox-cofactor","Others"
"S404bin.9","proteusin.lanthipeptide-class-ii.lanthipeptide-class-i","RiPPs"
"S42rbin.5","redox-cofactor","Others"
"SRR10998590bin.2","lassopeptide","RiPPs"
"D3rbin.3","NRPS","NRPS"
"SRR12170512bin.30","thioamitides","Others"
"SRR10954981bin.6","NRPS-like","NRPS"
"S120bin.2","T1PKS","PKSI"
"SRR5209946rbin.14","NRPS-like","NRPS"
"S225bin.4","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR10998558bin.5","NRPS","NRPS"
"SRR3972293rbin.1","terpene","Terpene"
"S237bin.3","terpene","Terpene"
"SRR6478736rbin.2","thioamitides","Others"
"SRR5581483rbin.144","redox-cofactor","Others"
"SRR8438990rbin.9","redox-cofactor","Others"
"SRR12676706bin.19","ladderane","Others"
"SRR5133179rbin.7","terpene","Terpene"
"S313bin.2","redox-cofactor","Others"
"SRR12681508bin.1","terpene","Terpene"
"S70rbin.2","thioamitides","Others"
"SRR5210213rbin.2","lassopeptide","RiPPs"
"SRR10159350bin.25","terpene","Terpene"
"SRR8676458rbin.3","terpene","Terpene"
"SRR6266699rbin.12","terpene","Terpene"
"SRR11615275bin.7","redox-cofactor","Others"
"S261bin.22","NRPS-like","NRPS"
"GM1bin.6","terpene","Terpene"
"SRR3985624rbin.12","terpene","Terpene"
"S264bin.38","terpene","Terpene"
"Z4jian_bin.23","NRPS-like","NRPS"
"zpcx_18bin.20","lassopeptide","RiPPs"
"SRR11679235bin.13","redox-cofactor","Others"
"SRR7976247rbin.25","indole","Others"
"SRR7026262rbin.12","terpene","Terpene"
"SRR7686991rbin.8","terpene","Terpene"
"SRR7976247rbin.8","betalactone","Others"
"SRR12277192bin.2","LAP","RiPPs"
"SRR5582436rbin.37","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR10954988bin.6","NRPS","NRPS"
"SRR12377071bin.3","terpene","Terpene"
"SRR8931236rbin.28","indole","Others"
"SRR7094832rbin.8","terpene","Terpene"
"SRR7096238rbin.7","terpene","Terpene"
"SRR8881011rbin.58","terpene","Terpene"
"SRR11794808bin.25","terpene","Terpene"
"S366bin.42","terpene","Terpene"
"SRR7101595rbin.17","indole","Others"
"S261bin.26","terpene","Terpene"
"SRR5208282rbin.6","terpene","Terpene"
"SRR11842680bin.66","terpene","Terpene"
"SRR11742962bin.18","redox-cofactor","Others"
"SRR12844108bin.8","transAT-PKS-like","PKSother"
"SRR12377071bin.1","terpene","Terpene"
"SRR6185512rbin.69","indole","Others"
"SRR7094834rbin.23","redox-cofactor","Others"
"SRR8500450rbin.3","terpene","Terpene"
"SRR7004338rbin.4","NRPS-like","NRPS"
"SRR4030068rbin.48","ladderane","Others"
"SRR7004338rbin.4","NRPS-like","NRPS"
"SRR5699024rbin.25","arylpolyene","Others"
"SRR5947209rbin.7","betalactone","Others"
"SRR12608596bin.1","terpene","Terpene"
"SRR10360655bin.5","terpene","Terpene"
"SRR11835809bin.55","indole","Others"
"SRR5665213rbin.5","arylpolyene","Others"
"SRR11719877bin.1","thioamitides","Others"
"SRR6195974rbin.61","indole","Others"
"S63rbin.3","terpene","Terpene"
"SRR11615638bin.42","terpene","Terpene"
"zpcx_33bin.21","terpene","Terpene"
"SRR3989344rbin.353","LAP","RiPPs"
"SRR5712671rbin.9","indole","Others"
"SRR5581483rbin.76","terpene","Terpene"
"SRR5881394rbin.3","terpene","Terpene"
"SRR6185437rbin.105","terpene","Terpene"
"SRR2059973rbin.12","ranthipeptide","RiPPs"
"S182bin.5","redox-cofactor","Others"
"SRR6476469rbin.1","redox-cofactor","Others"
"SRR1926113rbin.1","redox-cofactor","Others"
"SRR6831574rbin.20","indole","Others"
"SRR6683739rbin.6","terpene","Terpene"
"SRR11678222bin.7","terpene","Terpene"
"SRR7097861rbin.5","terpene","Terpene"
"SRR6788489rbin.21","redox-cofactor","Others"
"S406bin.17","NRPS.lanthipeptide-class-i","Others"
"SRR7976294rbin.1","NRPS-like","NRPS"
"SRR5882724rbin.9","terpene","Terpene"
"SRR5262249rbin.23","terpene","Terpene"
"SRR5678807rbin.5","betalactone","Others"
"SRR8487025rbin.12","terpene","Terpene"
"SRR8553628rbin.2","terpene","Terpene"
"SRR11613358bin.3","terpene","Terpene"
"S91rbin.18","NRPS-like","NRPS"
"SRR10376087bin.11","acyl_amino_acids","Others"
"SRR5195109rbin.5","terpene","Terpene"
"S7rebin.4","thioamitides","Others"
"SRR5829550rbin.13","NRPS-like","NRPS"
"D3rbin.14","NRPS","NRPS"
"SRR10360627bin.6","T3PKS","PKSother"
"S326bin.6","redox-cofactor","Others"
"SRR5712691rbin.4","terpene","Terpene"
"SRR12692786bin.13","indole","Others"
"S324bin.42","thioamitides","Others"
"S46rbin.4","LAP","RiPPs"
"SRR7100769rbin.16","terpene","Terpene"
"SRR11794808bin.42","terpene","Terpene"
"SRR8861596bin.44","lassopeptide.RRE-containing","RiPPs"
"SRR11842680bin.80","terpene","Terpene"
"S308bin.6","NRPS","NRPS"
"S171bin.17","redox-cofactor","Others"
"SRR350513rebin.5","thioamitides","Others"
"ERR1051325rbin.25","terpene","Terpene"
"S264bin.55","terpene","Terpene"
"SRR5262249rbin.7","terpene","Terpene"
"SRR10376087bin.25","thioamitides","Others"
"S225bin.8","NRPS-like","NRPS"
"SRR5947209rbin.6","lassopeptide","RiPPs"
"SRR6474979rbin.9","NRPS","NRPS"
"SRR12347820bin.5","terpene","Terpene"
"S366bin.87","NRPS-like","NRPS"
"BRice_18rbin.7","terpene","Terpene"
"SRR10861768bin.4","terpene","Terpene"
"SRR7097861rbin.2","indole","Others"
"SRR7882662rbin.58","terpene","Terpene"
"SRR12377065bin.2","terpene","Terpene"
"SRR5259839rbin.9","NRPS-like","NRPS"
"SRR7097861rbin.9","NRPS-like","NRPS"
"SRR8439262rbin.30","NRPS-like","NRPS"
"SRR6185437rbin.46","thioamitides","Others"
"SRR7976237rbin.21","indole","Others"
"SRR11031422bin.4","indole","Others"
"SRR7098092rbin.6","indole","Others"
"SRR8881005rbin.30","redox-cofactor","Others"
"SRR7102016rbin.7","NRPS-like","NRPS"
"SRR12927878bin.27","thioamitides","Others"
"zpcx_7rbin.5","thioamitides","Others"
"SRR11622295bin.25","thioamitides","Others"
"SRR7097860rbin.6","LAP","RiPPs"
"S402bin.7","thioamitides","Others"
"SRR9694538rbin.28","thioamitides","Others"
"GM1bin.13","indole","Others"
"SRR5271165rbin.11","indole","Others"
"SRR8439262rbin.32","indole","Others"
"SRR3985624rbin.40","terpene","Terpene"
"SRR5581483rbin.81","thioamitides","Others"
"SRR5209023rbin.2","phenazine.hserlactone","Others"
"SRR12349226bin.9","indole","Others"
"SRR5205814rbin.12","terpene","Terpene"
"SRR6478752rbin.7","indole","Others"
"SRR5579884rbin.25","redox-cofactor","Others"
"S120bin.2","NRPS","NRPS"
"SRR9691048rbin.7","T3PKS","PKSother"
"SRR6185312rbin.23","betalactone","Others"
"S7rebin.4","T1PKS","PKSI"
"SRR5260221rbin.23","T3PKS","PKSother"
"SRR11467475bin.10","indole","Others"
"SRR13115019bin.68","NAGGN","Others"
"SRR11842680bin.9","redox-cofactor","Others"
"S351bin.9","terpene","Terpene"
"SRR7629280rbin.19","terpene","Terpene"
"SRR10489828bin.2","RiPP-like.proteusin","RiPPs"
"S386bin.8","RiPP-like.lanthipeptide-class-i","RiPPs"
"BRice_131bin.7","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12349874bin.9","thioamitides","Others"
"SRR7882662rbin.74","terpene","Terpene"
"SRR12377065bin.2","thioamitides","Others"
"SRR6184671rbin.29","NRPS-like","NRPS"
"SRR8861596bin.29","indole","Others"
"SRR12688413bin.18","terpene","Terpene"
"SRR7093793rbin.6","thioamitides","Others"
"SRR12377071bin.7","T3PKS","PKSother"
"SRR5437868rbin.4","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR1157607rbin.4","terpene","Terpene"
"SRR5581483rbin.5","indole","Others"
"SRR7004344rbin.33","terpene","Terpene"
"SRR9650391rbin.14","terpene","Terpene"
"S25rbin.14","NRPS-like","NRPS"
"SRR7101595rbin.24","ladderane","Others"
"SRR8536191rbin.9","T3PKS","PKSother"
"SRR6201998rbin.1","terpene","Terpene"
"SRR8205309rbin.7","betalactone","Others"
"S233bin.6","LAP","RiPPs"
"SRR5582436rbin.54","NRPS","NRPS"
"SRR5195147rbin.6","terpene","Terpene"
"D1rbin.2","terpene","Terpene"
"SRR3990169rbin.172","terpene","Terpene"
"SRR6831574rbin.19","terpene","Terpene"
"zpcx_28bin.6","lassopeptide.RRE-containing","RiPPs"
"SRR5579885rbin.59","thioamitides","Others"
"S70rbin.3","terpene","Terpene"
"SRR11842680bin.44","terpene","Terpene"
"SRR7141967rbin.6","NRPS-like","NRPS"
"ERR4661003rbin.4","NRPS-like","NRPS"
"SRR3988264rbin.3","NRPS-like","NRPS"
"SRR11743100bin.34","RRE-containing","RiPPs"
"SRR12060219bin.1","T1PKS","PKSI"
"SRR10968246bin.44","terpene","Terpene"
"SRR12349874bin.13","terpene","Terpene"
"SRR10159352bin.21","NRPS-like","NRPS"
"SRR11836440bin.70","terpene","Terpene"
"SRR11719875bin.8","terpene","Terpene"
"SRR7096238rbin.39","terpene","Terpene"
"SRR12170514bin.33","terpene","Terpene"
"S75rbin.42","terpene","Terpene"
"SRR5579884rbin.72","thioamitides","Others"
"SRR11679678bin.37","terpene","Terpene"
"SRR8554898rbin.79","ladderane","Others"
"SRR8881011rbin.60","terpene","Terpene"
"SRR7094833rbin.1","thioamitides","Others"
"SRR1379730rbin.6","indole","Others"
"zpcx_33bin.14","terpene","Terpene"
"SRR9009774bin.349","NRPS","NRPS"
"SRR1586288rbin.10","terpene","Terpene"
"SRR11842679bin.5","thioamitides","Others"
"SRR4028118rbin.1","NRPS","NRPS"
"S75rbin.7","NRPS","NRPS"
"SRR10695388bin.2","terpene","Terpene"
"SRR6788489rbin.17","NRPS-like","NRPS"
"zpcx_23bin.20","LAP","RiPPs"
"SRR9656165rbin.2","NRPS-like","NRPS"
"SRR6195974rbin.62","T1PKS","PKSI"
"SRR6267142rbin.10","thioamitides","Others"
"SRR7097862rbin.20","thioamitides","Others"
"SRR3990169rbin.163","terpene","Terpene"
"SRR7093796rbin.22","terpene","Terpene"
"SRR8487025rbin.3","LAP","RiPPs"
"SRR5262248rbin.40","terpene","Terpene"
"SRR7091523rbin.3","redox-cofactor","Others"
"SRR11467475bin.10","RiPP-like.thioamitides","Others"
"SRR7093797bin.47","terpene","Terpene"
"SRR5582390rbin.32","terpene","Terpene"
"SRR12170519bin.6","terpene","Terpene"
"S261bin.9","NRPS-like","NRPS"
"SRR10360631bin.9","betalactone","Others"
"SRR7095402rbin.17","redox-cofactor","Others"
"SRR351474rebin.2","terpene","Terpene"
"SRR8554505rbin.24","RRE-containing","RiPPs"
"SRR5823602rbin.6","terpene","Terpene"
"SRR5195145rbin.11","thioamitides","Others"
"SRR10954984bin.7","terpene","Terpene"
"SRR5579863rbin.21","terpene","Terpene"
"SRR12349874bin.10","terpene","Terpene"
"SRR3985526rbin.15","terpene","Terpene"
"SRR5947209rbin.7","terpene","Terpene"
"SRR7096238rbin.6","terpene","Terpene"
